summary,Adventure,Angst,Drama,Family,Friendship,Humor,Hurt_Comfort,Romance
"There once was a serpent who looked with envy upon the birds of the sky. Desiring to fly itself, it stole the eggs of a hawk and raised a bird on its own, that it could gain a pair of wings. The plan worked perfectly. Thus the serpent was reborn and became a dragon of terrible power and looming menace.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
I don't own the characters. What happens when Lee trains too hard?,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hayate is in the hospital for lung cancer and the Chunin Exams can't wait. So Anko Mitarashi is called in to play referee instead. Armed with the profiles of all the contestants, her plan is simple; Make sure nobody dies or gets cripped during preliminary round. Easier said than done with these psychos.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Uchiha Toshiko wasn't back in her home town to stroll down memory lane, she she was just there to bury the man the man who raised her and grieve with her family. But life had never quite gone the way Toshiko wanted to and now she was left face to face with the man who had broken her heart years ago.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"""Bonds built on a lie can never be permanent."" A short story exploring the culmination of the end of Naruto and the reconciliation of Team 7.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"As more of the general public learns of their relationship, as it becomes less breaking news and just another part of Konoha's daily life, she hears the sentiment more often: how good she is for their Hokage, how wonderful it is that there's someone looking after him after all this time. A small piece from Sakura's POV, Post ""Coffee's for Closers.""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A birthmark that bound the souls of two people together. A birthmark whose glow was a sign that the two souls had been bound. A birthmark that lets the actions of the person be used as words. If bumping shoulders meant 'hello' If holding hands meant 'I love you' If holding each other meant… 'I'm going to miss you... Goodbye.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"What would happen if Naruto hadn't truly ever let go of his feelings for Sakura after he got with Hinata and Hinata figured this out? What if Sakura realized who she truly loved after they got together? How would the Future Hokage, The Hyuuga Heiress, and Tsunade's successor handle the conflict? Eventual NaruSaku and GaaHina. All rights to respective owners. I own Nothing.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Lee knew not that much time had passed since Neji's death, but that didn't matter. It frustrated him that despite his efforts, he still hurt so deeply.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sakura expects Sasuke to always remain emotionless towards her and everyone else.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"A fanfic of a fanfic. An expansion of the lullaby Shikaku sung to Shikako, found in Silver Queen's ""Sunshine Sidestories"" chapter 17 within the Dreaming of Sunshine Naruto verse.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"If you had told me this was the beginning of the end, I would have believed you. If you had told me that this was the beginning of us, I wouldn't believe you. I didn't want to believe you. I didn't want to believe you because… it would mean that I could have my happy ending. And I couldn't believe that. SasuHina Month 2021",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
[SSM21 Day 5: Jutsu] That time when Itachi and Shisui witnessed the exchange of Sasuke and Sakura at the dock.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"Everyone has a certain amount of patience, whether it's more or less, but what happens when Sakura exhausts Sasuke's patience? Read to find out! Set during the Genin era or classic Naruto.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
[SSM21 Day 4: Pride] There were a few times when he feels like he was bursting with pride.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"[SSM21 Day 3: Night time] He touches Sakura's cheek, cupping it at such gentleness, wiping her remaining tears in the process.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"""Whoever suggested that Tenten was the only non-unhinged member of Team Guy needed to be shot, in Neji's opinion."" A series of random one-shots for NejiTen Month 2021.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Civilian Sakura/Non-Massacre AU In which Shinobi-san and Anbu-san turn out to be the same person. [SSM21 Day 31: Free Prompt],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Sasuke starts writing Icha Icha Novels to make an extra buck on the side and accidentally becomes the richest man in Konoha. Jiraiya would be proud. Crack Oneshot. Sasusaku mentioned.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The climax of the Fourth Shinobi World War is nigh. Naruto Uzumaki meets the Masked Man responsible for all the world's evil in single combat. But as the mask shatters, the face beneath is now as expected...",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
The little girl who brought so much light into his life thirteen years ago now had a bright future ahead of her. Major spoilers warnings for those who doesn't follow Boruto Manga. After chapter 55 events.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"The Nine-Tailed Demon Fox: a construct of power and hatred. He can destroy mountains with a single tail, level countries with his tailed beast bombs, and cause earthquakes that shake the very earth itself. Oh, and he absolutely does NOT have a soft spot for the little blonde brat that he was forcefully sealed into by that wretched Fourth Hokage. NOT EVEN A LITTLE BIT!",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Prequel to Just a Little Bit of Your Heart: In some unfathomable way, they were brought together by fate through dinner. And by making Shisui want to rip his own hair out.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"I'm Gary Von Stu, and I have it all. I'm the literal best of the best. But something's not right in this reincarnated life. Oh well, at least I've got girls. Wait. What? Marty Zhu? No. This can't be real!",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"AU - ""Please!"" Deidara begged in a whiny tone, ""Why can't you just for once... come over for a sleepover!"" He yelled, stomping his foot and fists shaking in frustration. Sasori shook his head as he, yet again, vehemently refused his friend's bratty behavior, ""Never."" Sasori mini bang 2021 - Smol!Sasori. No pairing",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Newbie barista Sasuke has been having a crush on mysterious amateur photographer slash basketball player Naruto since the time coffee and arts collide. With a not-so-subtle nudge from his two nosy friends and a misfortune-turned luck from dear older brother, will Sasuke finally step up and get what he wants for once?",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"When Sasuke comes out of the Genjutsu his brother put him under, he struggles to put how he feels into words.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Itachi likes teasing his younger brother about many things, some of which become forgotten.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
My attempt at funny interactions between Lee and Neji,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Itachi has a present for Sarada. Sasuke panics.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"Orochimaru's plans are his worst nightmare, nor is he sure he can stop them - the question is, does he need to.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
When in the heat of battle many forget that even the best-trained fall to its after-effects and with Naruto Uzumaki all he needs is his sensei to be at his side and a quick cigarette break then he's set to go. AU Oneshot,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Sasuke tries looking to the future, a future not seeking revenge, only for memories from the past he'd pushed aside to resurface leading to a rather embarrassing situation and an awkward realization on his part.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Sakura wanted Sasuke to ask her to the festival, but Tsunade wants her to show Gaara around instead and Gaara - Gaara is Gaara.",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Summary: This is a conversation that takes place between Naruto and his daughter Himawari during their outing on the Parent-Child Day.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"After so long of keeping his secret of loving Hinata, Naruto gathers the courage to talk to her and finally confess his love for her.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"""She has the prettiest pink hair... shiniest green eyes... most beautiful smile... She was perfect""",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naruto Uzumaki, an orphan outcast, realized everyone hated him from a very early age. However, instead of trying to get their approval, Naruto views it as an opportunity. He could be as big a jerk as he wanted to with no consequences whatsoever...",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Blood, that was all that was going through her head and what she would go out to get as soon as the full moon rises. She hadn't counted on meeting that man who had a pair of moons instead of eyes. /AU/",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Ino and Sakura decide that their best course of action of understanding the hero of the fourth great ninja war is by going inside him.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"While on a mission, Boruto's team decides to take in a show. After seeing a performance, Mitsuki wonders if he can be hypnotized and Boruto is more than willing to help him figure that out. Rated T to be safe. There is a slight mystery element, too. And some humor.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"That god has taken her away from him. Yet there is nothing Sasuke can do but lament and regret. Note:I've also posted this fanfic at ao3,with the same title,under the username of AlexiosUzumaki",0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
"Two souls bound by one promise. In all centuries, Sakura waits for her lover, Sasuke to reincarnate.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"A series of inter-connected drabbles for SasuSaku Month 2021, exploring an alternate reunion between Sasuke and Sakura during the Blank Period timeline. [""Yes, I'll go with you,"" he agrees, glancing as her fingers flex in unconscious relief. It surprises even him, to say it so openly. ""Anywhere.""] SasuSaku.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"""Right, well. I asked her out again today. I was trying to be romantic about it too. I brought her some lily of the valleys. They're her favorite."" Genma smiled ruefully. ""Poisonous and beautiful little things."" ""Please don't start crying."" Shisui slid over a box of tissues the barkeep had surreptitiously placed on the counter hours beforehand. Non-Mass",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
"...People tend to tease you. Selfish, uncooperative, wild, supposedly the worst...Naruto had heard it all. But he would prove them all wrong. Blood type B was just as great as the rest, and Naruto would embark on a mission to show the world his awesomeness. Based on the blood type personality theory popular in Japan.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Sometimes Naruto swam. Through the cold waters of the rivers surrounding and running down Konoha's lush forests. Encircled by rocks and weeds, the muddy dirt filtering between his toes. For a second, he remembered a dream. A promise, of peace. Naruto closed his eyes.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"Naruto Uzumaki is an orphan with no family, no special advantages, and no bloodlines. Only this time, it's actually the case. Without any special status at all, changing the world would be difficult. But nothing worth doing is ever easy, and Naruto Uzumaki is determined.",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
"Fatherhood AU where Sasuke has to raise Sarada all on his own after the unexpected death of wife, Sakura, who died in childbirth.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Nobody prepared Tenten for that event which would completely change her life. She never imagined that she would get married at such a young age and even less that after years of marriage with Kiba, she would meet that man who would turn her life upside down again /AU/ KibaTen KibaTenNeji NejiTen.",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
"Sasuke Uchiha had a plan for world peace through fear, and he wastes no time in initiating his revolution. With Team 7 defeated, the world is his. Unfortunately for him, the world might have something to say about that.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Sasuke brings Sakura home to meet his parents for the first time. But there are a lot more people waiting at home than he expects! How will Sasuke navigate the dinner with Sakura when the rest of his crazy family (Itachi, Fugaku, Mikoto, Obito, Shisui, Madara and Izuna) are there. SasuSakuMonth21 (ssm21, day 9 - family)",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"""I can't stand coming home to a cold apartment."" In a world gone slightly different, just a few months before Pain's assault, an overworked, depressed Naruto returns to Konoha on a bitter winter's day after the worst mission of his career, but a chance encounter with Hinata makes her decide to bring a little warmth to his life. NaruHina hurt/comfort.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"""Lately, it was getting harder and harder to imagine how Neji would have reacted. Lee was terribly, keenly aware of that fact."" Neji is forever in the springtime of his youth. His sensei and teammates have to grow old without him. Team Guy after the war.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sasuke thinks about how his most important people will never realise the tragic lives that he had managed to avoid with the help of time travel. Mild Sasusaku. Time travel. Oneshot. I don't own Naruto.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Team 7 sees Kakashi's unmasked face and decides to marry him after some conversation. Hilarity ensues,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"Once, Kurama got bored. He was silent for 2 days, and then he announced: ""Naruto, I getting married"".",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Itachi finds himself curiously surprised when visiting the hospital.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"When Sasuke goes to fight Itachi to the death, he's already aware of the truth behind the massacre. It doesn't change much.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Shikamaru Nara and Temari are both high school presidents of rival schools. Their relationship has mostly been competitive until Temari asks Shikamaru for a special favour. Shikamaru is not going to make it easy on her - she has to solve a riddle of his making to get the favour she desires. Will Temari be able to crack the riddle? ShikaTema Zine Volume 2 - Zine Submission.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
With a glance Sasuke is willing to do anything his wife and daughter would ask for.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sasuke is a single father who is struggling to take care of his 7 year old daughter. Sakura has just graduated college with a major in medical engineering. Her and her boyfriend have been dating for 5 years and she wants them to get married. These two separate worlds collide when Sasuke takes a job at Davis's Coffee Shop. I don't own Naruto or any of the Naruto characters,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
To use or to be used.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Only he knew how he felt about her for these past 4 years. KakaSaku NaruHina. SasuKarin. Complete. One shot,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"The war was over, but the heartache that had come with it wasn't. Months of living under pressure and grief had Sakura on the verge of cracking. She needed an escape.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Prompt 1 of SasuSaku Month! #SasuSaku2021,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"While Sakura didn't give up on stealing glances at Sasuke, she did give up on him returning a glance. Things don't seem to ever turn out how she expected with Sasuke.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"'Tch. Who says 'I love you' to someone they just met—'he thinks, frowning all the way home '—annoying.' But his heart feels caught in quicksand, slowly sinking to his stomach. She never did tell him her name. [SS, ModernAU]",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
A compilation of oneshots of varying lengths and themes for the SasuSaku Month 2021. Featuring Sarada in few oneshots.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A collection of one-shots for SasuSaku month 2021.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
"Madara is not the man you would expect a shinobi legend to be. When Kabuto reanimates him, he's in for a doozy (along the lines of my other story ""Kabuto, Wrong one!"")",0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Obito blinked and he time traveled,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sasuke had a lot of reasons for what he did.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""A challenge for all my followers and dear friends; post a pic with your beloved and tell the world what they mean to you."" Where Ino's challenge gets a good response and many new couples are discovered. A/N: Some changes from the original timeline, so a bit AU. Contains multiple pairing.",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Sasuke witnesses something that shocks him to the core.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"The universe is very big, but for me its you. A very short one-shot.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"Welcome to #NEJIWEEK2021, from June 27 to July 03 will be celebrated the week of appreciation to our favorite genius. 7 days, 6 independent oneshots according to the proposed theme.",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
In which Sakura happens to be in the same bathhouse with Team Hebi,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Naruto receives an invitation as a War Hero to the Land of Whirlpools for the funerary service of the Uzumaki Clan. However, things go south quickly as the service is attacked by a group declaring themselves the ""Inheritors of Uzuhio"", and amongst them, is someone claiming to be his own Uncle. What could possibly go wrong? (Goddammit Bubsy!)",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"COMPLETE. This feeling is like a rose; he feels the thorns in his heart most of all. SNS, canonverse, one shot. Sasuke's POV.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"She was an Uchiha, but she was Tobirama's guardian angel. Because somehow that child was always there to warn him before things got dire. Now, if he only knew how she kept disappearing whenever he turned his head.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Madara and Hashirama fought their final stand at the Valley of the End, this is a What if story taking off at the end of that battle where Hashirama doesn't run Madara through but instead is given another means to deal with his friend turned rival.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Naruto Uzumaki was scaling the Hokage Monument with intentions to paint it. What he wasn't expecting was to come across a mad bomber who regarded fireworks as art. Let alone that they would become friends.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
A week after Gai learns that his legs (and life) will never be the same. One-Shot.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Uzumaki Asura grapples with fate and gambles with destiny as he launches himself back in time – he is a man with a plan. An insane Uzumaki, an Uchiha zombie and a cranky nine-tailed fox, who is so done with Uchiha BullshitTM, are going to save the world. Believe it.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Madara doesn't know where this absolute maniac came from, but he had quickly established himself as the most frightening thing to walk the land. That green leotard, the bowl cut, those orange legwarmers. The Eyebrows. And his utterly terrifying habit of propositioning Madara at the top of his lungs.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"In which Haruno Sakura is Rokudaime Hokage Hatake Kakashi's assistant, and wonders what kind of drugs she was on to agree to it in the first place.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"The Haruno family run a reputable produce shop and every once in a while Sakura helps out, seeing an opportunity Itachi makes his move.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Naruto was always a genius, just not in the normal way. One-shot",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Continuation of Hinata The Rokudaime,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
"Flowers. On her doorstep, not once, not twice, but three times. Who was sending these to her?",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"Itachi's deathly afraid of the Senju clan, so his visit to Konoha with Kisame turns out a little differently. Crack fic.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"Just when everything was supposed to be starting, Naruto lost everything.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Sometimes what a person needs most is to be forgiven. – Jennifer McMahon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Naruto awoke feeling warm, content and loved. Only to be awakened within a greater nightmare. An unofficial companion fic to Bug Bites. SasuNaru. Body horror. Not for the faint of heart. Inspired but not based on Resident Evil 8: Village.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
"Sasuke's marriage gets arranged by the Uchiha family, but he already loves Sakura so he decides to pull a page out of a trashy romance Novel and run away and get married. Sasusaku Oneshot. Non-massacre. I don't own Naruto.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
To the many first Sarada will experience with her father. Part 4 of A Father's Day Special. One-shot,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Part 3 of A Father's Day Special. One-shot.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Part 2 of A Father's Day Special. One-shot.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"Naruto now has a person to call his family. A family to cherish, a family to protect. Part 1 of the A Father's Day Special. One-shot.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"Sasuke hates getting into agruments with Sakura, his reason? Her teasing. Very short one-shot.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Naruto discovers Hinata's love for ramen. One-shot.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Don't you dare ever question the immaculate beauty of true love.,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Father's Day in the Uchiha household. Non-massacre AU. Happy Father's Day!,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Any day can be a holiday. Happy Father's Day!,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
They all knew this day would come. They just wished it wasn't so soon. They just wished it wasn't so sudden. They just wished the Sun hadn't left them so prematurely. (SAD READ AT YOUR OWN RISK),1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A young child named Mesmerie is alone and isolated from everyone and wants to have a family. The ones she wants to be with more than anyone else are Naruto and Hinata. But she is unable to do to circumstances. Takes place during the events of Horyus: Agents of S.H.I.E.L.D.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"When the Sensei, and Hokage of the leaf get bored they decided to put a fun game together for there student. As they watch is all unfold. As the game is Muder Mystery! A game of deceit, leis, and betrayal! The sand siblings are passing through, and they get cut in this all this as wall. What will happened?",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"""Whatever I've done Hinata, I assure you I'm sorry"" She laughed again, bitterly ""You must say that a lot"" then she caught her cruel tone and blushed ""I'm sorry, I mean, you don't even know what you're apologizing for"" ""I've done a lot of things I need to be sorry for, I've learned not to ask"" or Naruto has died, so Hinata and Sasuke talk for the first time. OG fic on AO3",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
"Naruto is kidnapped at the age of six by certain forces. He is experimented on but escapes after five years. This story will only last until the end of part one and will be AU-Canon. Crossover with Several series(Resident Evil, Solo Leveling, Etc.). Season 1 done with Season 2 down the line.",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Despite the despair, she lays her weapon down and thinks: we could be free.",0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
"Naruto saved a boy one day. While his chivalry is always one of his stronger points, this time it might mean his end. SasuNaru one shot. Semi-Horror Vampire/Bug Fic. Inspired by Resident Evil 8: Village.",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"After the raid at Nekomata's fortress, Sasuke rediscovered an old fetish and a new crush. Plagued by troublesome dreams, he set out to make these dreams a reality. Hints of SasuNaru. Fluff. One Shot.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"When Charasuke woke up in Konoha with a searing headache, he knew something was not right. He looked around to see that it was Konoha but not his Konoha. An inter-dimensional fanfiction. SasuSaku and BoruSara. Oneshot",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
A short Drabble about two cats . Cat Au NH .Fluffy Modern Au,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Sasuke is dead but he left a letter for Sarada and Sakura. Sad. I don't own Naruto.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"""If you don't put it back, I'll have Naruto repaint the nursery and buy the baby a matching onesie."" / Taken from A Work In Progress / RxR!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"""Omg, marry me."" Eyes wide in surprise, Sasori's spoon paused in mid air as he turned to look at his possibly delirious girlfriend. ""Um, okay."" / Taken from A Work In Progress / RxR",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
"It was the Hatake curse. First his father and now him. When a baby was unexpectedly delivered on his doorstep, Kakashi was suddenly thrown into parenthood, without a single clue on how to be a good father. With only the foggy memories of his childhood to guide him, Kakashi struggles to learn how to tackle the two most taxing occupations simultaneously: Father and Hokage. Complete!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A snow day for Team 7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
What if someone used Izanagi when Itachi began his massacre.,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
"AU sameage SasoSaku, Sakura's best friend since Ino got unreliable is the new kid in school. After a rocky year of facing down teachers and peers, Sasori has to come clean about a secret before Sakura gets a clue. But a unifying truth is: nothing ever goes right when you're in middle school. Oneshot. Prompt fic.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Branches after Sakura's confession to Naruto in Iron. Sakura tries her best to show Naruto that she's not lying about loving him while she tries her best to make sure Sasuke doesn't go down the path of destruction.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"It's been so long, and now? Watching and waiting. Carefully planning every waking moment just to see you, hear you, maybe even talk to you... All over again. I thought I was over this... Perhaps not. [This GaaNaru was Inspired by the Netflix Series 'YOU']",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Sasuke and Sakura have been best friends since they were kids, but one incident changed everything.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Set after 'The Last' movie, Naruto contemplates his history with Hinata and tries to determine when exactly she became his most precious person. He decides that it all started with a list. A reflective, canon-compliant fic that follows NaruHina from childhood and after the moon mission.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
"Sakura was on her way home when she spots her Captain, and her current crush, coming home from a mission. He's covered in blood but she tries to respect his space, until she hears a particular loud groan of pain come from his apartment next door to hers",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
"The nine-tails was cut into two parts and divided. Naruto Uzumaki learns the value of hard work early and excels in all things. But there are two sides to every coin, and as he nears the light, his shadow grows...",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
"Apparently, Naruto is actually the only person in the entire world who is NOT an idiot.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
"In which Izuna relives a memory, but what happens is not what he remembers. Set in my ""Three"" series AU. Contains IzunaTobirama and mentioned IzuTobi children. Don't like, don't read.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
"In which Yuko loves Tobirama's armor fluff (but she loves Tobirama even more) and Touka is left baffled. Inspired by Agnes's fluffy quote from ""Despicable Me"". Set in my ""Three"" series AU. Contains an IzuTobi Mpreg OC child, a soft Tobirama, and extreme cuteness. You have been warned. Don't like, don't read. Rated T for Touka's language.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Maybe... just maybe... he'd finally feel alive.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
