,Summary,Adventure,Angst,Drama,Family,Friendship,Humor,Hurt_Comfort,Romance
31,"When I stared in the mirror, I didn't know who I was looking at. There was a stranger looking at me. Her face too round, her body too feminine. She was not me. She was someone I had been posing as and I couldn't stand the sight of her.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
32,America (and Canada) finds the Yanny Laurel clip. What will happen?,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
33,A one shot of a Mermaid AU. Read it to find out more. Please R&R and hope you like it,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
34,"Orihime wonders what Ulquiorra's Past is like, She finds out when she gets transported to the past. Ulquihime One-Shot",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,"Oneshot. Pre TYBW arc, canon divergent. ShuuHina-centric, mentioned badship AiHina, mentioned platonic ShuuKiraRanHina. Rated T for mentions of sexual abuse & NSFW. /She is unused to feeling anything that isn't pain./",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,"""The Sealed King of the Quincy regained his heartbeat again after 900 years, his intellect after 90 years, his power after 9 years, and the world after 9 days."" The Last 9 days are upon Soul Society, and Yhwach has won. With his will broken and his sword shattered, Ichigo must stand again to face the Quincy emperor. A retelling of the end of the Thousand Year Blood War.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
37,"On a particularly cold night, Orihime is feeling homesick and refuses to eat. A certain Espada is not happy about this...(Oneshot)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38,A short drabble. Ichihime.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
39,Yammy confesses to Ulquiorra,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,An IH drabble Ichihime and a blow pop.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
41,Ichigo's thoughts while under Orihihime's healing powers. IchiHime fluff/angst. Little bit drabbley... This was my first time writing them!,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
42,Rukia's good at kido. Ichigo's good at learning.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,"How do you have to order your alleles, he wonders, to get that shade of heart-stopping blue— [Ichiruki] [686 compliant]",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
44,"Orihime runs from her responsibility as the miko and enters the forbidden forest. UlquiHime, One-shot",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
45,The easiest heart to break is your own.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
46,"Neliel exposes the Sexta's softer, much more vulnerable side. GrimmNel short.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
47,"Hisana lives in the rukongai, it's a young girl who fighting to survive in this hard and ruthless world. This is what will lead her to abandon her little sister, Rukia. A sad OS wich tells the past of that who became the wife of Byakuya",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,"AU. ""Really, Shiro? Really? In my apartment?"" ""Your window had the best angle. Also, you knew what you were getting into."" ""Only after you said 'Oh, by the way, I'm an assassin, so if you ever need anyone taken out, you know a guy!""",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
49,"The shihakushou is the traditional garb of the shinigami. That didn't mean every shinigami wore theirs the same way, least of all Ichigo Kurosaki.",0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50,"'I need a weapon, I need to do something.' She looked down and her eyes widened at what was below her on the ground, Zangetsu, knocked away earlier from Ichigo's hands rested in front of her. 'I need to do something...something that Ichigo would do.'",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"Ichigo doesn't really care about flowers, but he needs the job and it's hard because his boss is way too crazy over them but he really needs the money. He guesses. Florist AU",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
52,"Szayelaporro muses about his older brother, Yylfordt Granz, and the relationship that they shared. More than that, the past and how they had struggled so much before. Szayel/Yylfordt... Granzcest, if you will. Mentions of cancer & character death",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
53,"Stories about Aizen/Szayel. Chapter 1 is about Aizen pulling Szayel away from his research to rest. Chapter 2 is a ""typical"" fall hayride.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
54,"After defeating the Water Dragon God, Team Natsu is headed to Tekka to continue their 100 year quest when they run into a traveling storytelling group who reveal to them the legends of the forest around them. What will they do when stories become reality and Lucy stumbles upon a forgotten creature that lay dormant for eons? *WARNING: SPOILERS for 100 year quest up to chapter 25.*",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
55,Theories that I have about some events and characters in Fairy Tail. Let me know if they seem legit or possible. Keep in mind that they're only theories.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
56,"As Lucy Heartfilia struggles to go to sleep, she begans to reflect upon her life since joining Fairy Tail specifically her relationship with a certain pink-haired Fire Wizard.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
57,"This is not a story. Just a theory, something to think about and an apology.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
58,"A collection of tumblr requests and short Fairy Tail drabbles. / Each chapter will be marked by pairing [' is platonic, 'x' is romantic] and will have trigger warnings as necessary. / Find me on tumblr (and submit requests) at @splendidlyimperfect",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
59,"When a taxi refuses to take Sting to the airport because they won't accept his service dog, a charming stranger named Rogue offers to drive him instead. The act of kindness gets Sting home to his brother Natsu and the rest of his family in time for Christmas, but Sting can't help hoping that he'll run into Rogue again.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
60,Whenever Lucy and Natsu spar with each other Cana find them in scandalous compromising position. What is actually going on between the two of them who are always fighting and bickering together.. Read and find out.,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
61,i need help finding a story about lucy and zen pradesh i know im not meant to post this stuff but im desperate,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
62,Just a bunch of kawaii little oneshots I make when I'm bored :),0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
63,"While they teased Lucy about Natsu, the white mage chose her next host. (Gruvia/NaLu) (Fluff/Angst) (FT 100 years quest) (chapter 43) (Plot Twist)",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,"When Gajeel fails to protect Levy from non other than himself, will Levy be able to convince him to stay? Or is this where our favorite couple says goodbye? Gajeel/Levy",0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
65,"Natsu protected Lucy from a job, so Lucy wanted to pay him back after he got himself hurt. While she's bandaging him up, she finds herself feeling guilty about what has happened. Can Natsu make her feel better? Or will her emotions get the better of her?",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,An other Announcement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,"She was the Queen of The Fairies, glowing bright for all to see. He was the former criminal and current fugitive, lurking in the shadows always watching out for her, protecting her. But what happens, once the glowing brightness and the shadows clash together? JERZA.",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
68,Zeref Dragneel is a cold and greedy business man who pushes away his loving brother Natsu and mistreats his hard working employee Gray but one Christmas Eve night he meets three spirits who are determined to change his views on life forever.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
69,Erza weighs her strengths and failures. Jellal helps. - Part of the Remember Me series.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,Based on something Mira said in an old manga extra. One-shot.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,"Sting and Ryos spend their first Christmas with their foster son, Noah, and end up with some big news for their family. / **part of the 'only hope for me is you' universe, see profile for links**",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
72,"Yuugi and his two friends go to a long abandoned cabin to fulfill a dying grandfather's final wish… But why are they there? What is so important about this strange, eerie house? …and what will be the cost of finding out? [AU Puzzleshipping, Puffshipping]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
73,Turns out Liam was a fan of Seto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
74,"While at Anzu's house, a cat pounces on Yami, which brings back old memories of being in Egypt.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
75,There's a new nightclub in town and everyone's going to be there. Even Seto Kaiba. Light Seto x Jounouchi. Story inspired by a picture.,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
76,"""Let's just say, I'm repaying a debt.""",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
77,"In which Seto Kaiba is offered the Sennen Rod, makes some realizations, and comes to conclusions he isn't entirely fond of. He is certain Yugi Mutou has it out for his sanity. He just can't prove it.",0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
78,"As the evening pushes into the night, Seto finds himself alone with a stranger. Inspired by Vienna Teng's 'Recessional'.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
79,Mokuba and Seto have a bike race... with a twist.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80,"A short story where Ryou takes Yami Bakura (Bakura), Marik and Yami Marik (Kek) on a flying fox! Yay! Rated T for swearing and nothing else Please enjoy!",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
81,"Yami's friends introduce him to movie nights, and he introduces them to his thoughts on what they choose. One-shot.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
82,Blind!YugixYami One-Shot Yugi attending Yami's art class. They get to know each other through their artand while they are talking Yami finds out more about Yugi.,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
83,"An anonymous figure referring to themselves as ""Atem"" threatens to expose the secrets of the past that Seto thought he had buried long ago. Meanwhile, a security consultant named Kisara uncovers a despicable scheme at a local orphanage with all of the evidence pointing to Seto as the mastermind.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,"Will Joey dying bring him and Seto closer than ever before? This is a puppyshipping, and character death.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,"""You're in charge now, Mokuba."" Mokuba has watched Seto hurt himself for too long, and finally decides that enough is enough. (spoilers for Dark Side of Dimensions)",0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
86,"""Instead of taking it easy after all that fighting, he was back at it again wearing his body out. Punching imaginary aliens. Making that dumb face."" Chi-Chi reflects on growing older while her husband continues to abuse his body after the tournament between Universe 6 and Universe 7. How can words explain it when food can't? One-shot dedicated to GoChi.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
87,"Of all the things Yamcha loves about his boyfriend, he loves Tien's arms the most. (Written for Tiencha Day 2016)",0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
88,"During a martial arts tournament Videl, her best friend Erasa, and her shy new friend Gohan get caught in the middle of multiple world-threatening foes. Gohan will have to overcome several demons, both physical and psychological, to be the hero that his father was once before him and save the world. Very alternate Majin Buu storyline. More Dabura, no fusion/Ultimate Gohan.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
89,"There is a battle that many wondered about during the Android Saga. That battle was Vegeta against Piccolo, the Last Saiyan Prince against the Namekian Demon Spawn of King Piccolo though what-if, on a night before the Cell Games, the Saiyan Elite stared down the Namekian Fusion, Vegeta stared down Piccolo? Disclaimer: DB/Z/ and GT belong to Akira Toriyama, Fuji TV, Toei, etc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,"Raditz and Mary get ready for their wedding after Goku's death. Continuation of ""What Have You Done?"", ""Mating Moon"", and ""New Moon"". Rated for language and suggestive content. Raditzxoc",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
91,"After being taken by Frieza, Goten has no memory of his past. Upon returning to Earth to destroy it, he comes across an old friend. Can Trunks save Goten or will the darkness claim him? NOT YAOI. Coauthored by pikatrebond.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,"18 and Krillin take Marron to meet 17 for the first time, but something's wrong? Can 18 and the others save him? Inspired by the Super 17 Saga (loosely), but I also briefly brought in my own character Disclaimer: This is a Fanfiction. Dragon Ball, Dragon Ball Z and Dragon Ball GT are all owned by Funimation, Toei Animation, Fuji T.V. and Akira Toriyama",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
93,"For Vegeta, old habits die hard.",0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,"That moment Vegeta finally realized why her surname is Briefs. (Crack- no pun intended, lmao)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
95,"Only five prompts this time. I wrote for all but the fourth prompt. Word limit 400 and drabbles are based off of images. The theme was war; all but one image had secondary fantasy theme going on for them. Nothing explicit here, all SFW stuff.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
96,Bulma is having doubts about Vegeta's feelings for her. Does he really care or is her love one-sided? Chi Chi has an idea to help Bulma discover the truth of the matter.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
97,"Trunks goes back to the past with Goku and Vegeta, but he gets surprised when a certain someone is waiting there for him. But it won't be like last time, sharing a can of meat with a cat wanting cuddles. It won't be the big reunion that he had hoped for, but can he have some hope to at least smile?",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,"King Piccolo one-shot. Set when Piccolo Daimao is still the Nameless Namekian, at the moment when Katas decided to send him away.",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
99,"Some REALLY dumb people decide to attempt to assassinate the head of their chief corporate rival, Capsule Corporation. It...doesn't go well. For them. Warning: somewhat graphic imagery. Take a shot at it though! Let me know if the rating is too low, please.",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,"Sequel to Bardock Son of Gohan. A year has passed since Bardock made it back to his own timeline. He and Pan are now going to school, trying to live a peaceful life. Unfortunately, what happens in one known timeline must also happen in the next known one. How will the two handle it when they have to face Majin Buu again? This time a few curve balls are thrown in as well.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
101,"A fun and interesting AU, where all the DBZ characters go to school. It is my very first fanfic! I have focused mainly on GxCC, but will try to add BxV, Kx18 and TxL. Please enjoy reading it as much as I enjoyed writing it. (Rated T just in case.) DISCONTINUED",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
102,"The Cell games is in ten days. Gohan seems to think Gero was too smart not to have another lab so he goes off to find it, but things don't go according to plan. Gohan gets captured by a crazy scientist who wants to experiment on him. Will Gohan escape? How will this effect him? ""I do not own dragon ball z or any of the characters. I think thats pretty obvious.""",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
103,"Saiyaman and Videl enjoy a short afternoon walk together, with plenty of embarrassment occurring between them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
104,A new type of Fighting Tournament has been created.,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
105,"I am looking at things from a far higher perspective than you. I observe this world, this universe, the truth of all things. And I have realized mortals must be destroyed. Out of all which the gods have made, mortals are their sole failure. To create a utopia, I must remove mortals in the place of Gods who refuse to admit their mistake! Goku Black One-Shots!",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
