,Summary,Adventure,Angst,Crime,Drama,Family,Fantasy,Friendship,General,Horror,Humor,Hurt_Comfort,Mystery,Parody,Poetry,Romance,Sci_Fi,Spiritual,Supernatural,Suspense,Tragedy,Western
26,"Kagome has been travelling into the past for longer than almost anybody knows, and the reason it happened the first time is very different. Of course, this changes the way things go... don't own, oneshot, complete. SessxKag",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,"AU. When Inuyasha calls in a favor, Kagome sacrifices her holiday in order to help him fulfill an annual familial obligation. Missed flights, misunderstandings, and mistletoe conspire to bring two strangers together. SK. **watch for annual additions**",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,"SessKag AU Kagome, an employee of Tashio Inc, is forced to be Sesshoumaru's assistant for one week. From company parties to redecorating offices, Sesshoumaru and Kagome grow closer as their week comes to an end. COMPLETE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A prank spell turns Inuyasha and Sesshomaru back into young pups. Kagome volunteers to keep them safe in her time until a cure is found. But as she soon finds out: Puppies are a handful! Chapter 12 up!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,"InuYasha has chosen, and it's not Kagome he wants to be with. Sick at heart, all Kagome wants to do is go home. Only, she has to finish gathering the shards, so she turns to another protector to finish her mission. AUish, SessKag COMPLETE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,He's a dog at heart. The daily modern misadventures of a girl and her demon. SessKag drabbles.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,AU. Kagome is the principal of an elementary school. Inuyasha is one of their two janitors.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,"Oneshot. It's Halloween, and Kagome keeps catching glimpses of something... or someone... out of the corner of her eye. An imposing presence, an implicit threat, and a message from beyond. Sesshoumaru x Kagome. CU, Modern Era, Divergence.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,There is a new addition to the Inuyasha gang. How will the group react? Can Kagome be a jewel shard hunter AND a mother?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,"[COMPLETE] AU (IK) Not accepted by any demons but family, Inu has been alone all his life. Only mikos can live as long as demons, but they are rare. So what does Inu do when he finds Kagome, but she doesn't like him because he...kidnaps her!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,"Sesshoumaru needs Kagome's help in getting back something stolen from him. In the events that follow, something changes between the two, and what was once fear becomes something different. Part One of Three Complete",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,"[SK][Complete][Edited] An obsessed miko, a bored demon lord, and the shared need to be entertained, all combined by a completely innocent addiction.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Sesshoumaru knew the scent was coming from her, but why? Sess/Kag *COMPLETE and REVISED since 4/2010*",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,"An old friend, a missing heir, a vengeful plot, a brother's pain; all tied somehow to a murderous conspiracy in the Western Lands. Inuyasha faces his father's people to unravel the lies and seek out his destiny - and perhaps find the place he belongs.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Complete SessKag: Kagome finds a mirror that gives possible scenarios from the future. She decides to look a bit closer. Is she ready for what she'll find?,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,"Sesshoumaru decides to join Inuyasha and his group in order to defeat Naraku… much to Inuyasha's displeasure. Unfortunately while fighting one of Naraku's new reincarnations, Sesshoumaru is changed into a kid again! Now Kagome has to take care of him... STORY IS BEING REWRITTEN 2 of 20 rewrites complete, more chapters will also be added.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,"Kagome needs help, and there's only one dog who can do it. In which Kagome learns a thing or two about dogs and Sesshoumaru learns a thing or two about fun. SessKag.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,"COMPLETE. Part 2: They parted ways after the agreement, until Sesshoumaru decided it was time to collect on the debt Kagome owed him. Part 3: The appearance of an enemy from the past brought Sesshoumaru and Kagome together once again.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,"When Inuyasha, the deaf son of a multimillionare, finds an ad for a clinic that will cure his deafness, he meets the mute daughter of his doctor, Kagome. [Inukag]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,"A seven year old Sesshoumaru meets a seven year old Kagome, and decides its time to learn the Inuyoukai courting rites - to his father's rather strained pride.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,"Inuyasha is the most wanted male in all of his high school. The ladies crave him and the guys idolize him. They, however, do not know that he is dating the quietest of the students in Shikon High, Higurashi Kagome. Nobody knows they are. [COMPLETED]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"AU. Inuyasha has been a captive all his life - and he finally escapes, but at a price. Kagome happens to find him washed up on her beach, blind, and must do anything and evrything in her power to help him get his sight back. COMPLETE",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,"CH 20 UP!Inuyasha and Kikyo are the hottest couple in their school...until they break up. Inuyasha wants Kikyo back so he uses Kagome, a geeky nobody, to make Kikyo jealous. How will things turn out?IK,SM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,"COMPLETE. Inuyasha's erratic youkai transformations forced Kagome to seek help from Sesshoumaru in more ways than one. Unsurprisingly, the taiyoukai balked at the idea...until Kagome offered him something in exchange for his help.",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,"Naraku takes Kagome, intent on her bearing him a child. InuYasha can't save her. Sess doesn't want such a child born, and takes Kagome to his castle. First just a playmate for Rin, but after she is nearly raped the demon becomes fiercly protective. IC R&R",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Inuyasha and Kagome are worst enemies but that all changes when they have to share a room in spring break. See what happens when they start to have feelings for each other. InuxKag SanxMiro and a little of SessxRin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,"Through usual mishap, Kagome's been separated from the group. Through unusual circumstance, Sesshomaru has decided to return her. Unless, you know, he kills her first. A long story told in short snippets. Complete.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,"I couldn't resist. Completely separate from my other stories. Inuyasha stumbles across his brother's clothing, armor and dead vassals. And it only gets stranger from there on out when he discovers his brother's a toddler hiding beneath Ah Un's body.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,"AU Inu/Kag Inuyasha is sentenced to do community service hours for ten weeks. He sees the same girl everyday, but the problem is: she can't see him. In fact, she can't see anything.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,"Sesshoumaru and Kagome have the perfectly normal life of being the 'master and pet'. But as darkness threatens Japan and Sesshoumaru finds himself consumed with thoughts of Kagome, will they be able to survive each other? Alternate Endings added!",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,A cold and ruthless businessman? What are the odds he would fall for a simple pet store worker? COMPLETE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,KagSess. Kagome is strong and a human female. Who could better serve as a spy for the Western Lord? But soon she gets swept into an impending war between the cardinal lands.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,"Kagome is forced to join her brother's school by her grandfather when her family notices the beatings he apparently goes through. There's only one problem. Souta goes to an allboy school.. InuyashaKagome, AU DISCONTINUED.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,[IYFG Winner Best Oneshot] Inuyasha began to feel the cruel stab of jealousy. How was he supposed to compete with a copy of himself? A better copy? Someone without all of his flaws? “Kagome…please don’t leave me…”,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,"Pheromones: any chemical that has an effect on physiology or behavior. My name is Kagome Higurashi, and this is my experiment.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,"Yuki, an old friend of Inuyasha's, returns to Feudal Japan after leaving mysteriously years ago. There, she finds herself drawn into the messy web Naraku is intent on weaving, and ends up joining forces with the infamous Sesshomaru. The unlikely pair learn to work together as they fight against the insidious Naraku, while struggling to understand this new feeling between them.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Based on the picture series by Youkai Yume. Love is expressed in a myriad of ways. Sesshoumaru and Kagome grow and develop in their relationship with each other. Series of interconnected one shots. Sess/Kag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,She had never imagined anything other than marrying a man her father chose and being bored the rest of her life. Until she's kidnapped by her father's enemy... [SessKag][COMPLETE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,"The perfect curse, courtesy of Naraku, can bring just about anyone together. Even Kagome and Sesshoumaru. Complete oneshot.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,"Complete. AU. Inuyasha and Kagome are co-workers who despise each other, but due to a bet Inuyasha must somehow get her to sleep with him. He hides his identity in order to seduce her, however things don't go according to plan...",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,"A nice girl and an attractive man get trapped together in a cave, no other company, no way out, and no privacy. Throw in that they already kinda liked each other already, just a little, and wait for the sparks to fly. oneshot, complete, don't own, SessKag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,"""He's rude, he's crude, and he says he hates me... but, if he can help me collect all the jewel shards, then that's all that matters."" Such was Kagome's opinion of InuYasha shortly after meeting him, and familiarity bred contempt. On top of that, Kagome is a modern girl, and refuses to just sit back and do as she's told. Oneshot, complete, don't own.",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,"Kagome and Kikyou are twins going to Shikon High. Kagome likes to cross dress as a guy fooling everyone that she is a he! Sesshoumaru seems to have mix feelings between the priestess with blue eyes and a sophomore,thinking he's gay, Kagome! COMPLETE!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,"Kagome thought that the past was dead and gone until one day in an unlikely encounter she runs into Sesshoumaru, literally. Kagome learns that the effects of time may be profound, but the essentials remain the same. Modern; SessKag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,"COMPLETED! Kagome is being threatened by some bullies from her school and the authorities can't do anything about it. Inuyasha, Miroku, and Sango travel 500 years into the future to protect her. InuKag, SanMir, non AU.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Sixty Days. That was all it took for one mighty daiyoukai to look beyond his set beliefs. That was all it took for one surprising miko to realize what was right before her. That was all it took to fall in love.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,[AU Oneshot] He'd never seen her face. He'd never heard her voice. In almost every conventional way she was a stranger to him. And yet in one instant Inuyasha knew his heart would recognize her anywhere.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,"She healed him because he was hurt and she had the power to help, paying no heed to the fact he was a Taiyoukai. facinated by her selflessness he found himself desiring her pure soul that called to his tainted one. *Possessive Sesshoumaru* rating will up",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,How a powerful demon and a human girl that he buys for her golden voice come to save each other. Serial for the Dokuga LJ comm's weekly contests.,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,"AU. Few women have what it takes to work at Founder's, but when Sango complains to the manager about the coffee shop's flirtatious counter attendant, she's offered a job on the spot. A story told in bits and pieces. MirSan. COMPLETE.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,"Aggravated and unable to understand his companions, Sesshomaru goes off by himself to relax, only to encounter a familiar miko. The priestess, Kagome, offers to teach him how to understand the world... and himself. SessKag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Kagome begins receiving odd gifts from a secret admirer. This was written for iyfic contest Week 136 – Odd Gifts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,[SK]Inu Yasha sends Kagome back to her world with harsh words... but worse consequences. Kagome refuses to give up Sengoku Jidai despite the danger to herself and ends up with the most unlikely of companions.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,"Inuyasha and Kagome take the same elevator to the same floor every day. They never talk. One day the elevator breaks down. And then chaos ensues. There is fighting, then screaming, then kissing. And then...well no one takes the elevator after that. InuKag",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,"After Sesshomaru returned to the Western Castle with Rin in tow, he resumed his duties as Lord of the West, but doesn't that include producing an heir? As his mother sends prospective women his way, how will it change his feelings towards Rin?",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,"In the demon society filled with only greed and corruption, Kagome's pure heart drew many to respect her. Sesshomaru thinks she would be greedy and corrupt like the rest. But when she contradicts his prejudice against of her, he soon falls for her even though she is promised to mate Inuyasha. *1st Place for Best Romance Fiction in the Feudal Association 2015 Awards*",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,"AU fic. Kagome is moving away from home for the first time in her life. Inuyasha is a half-demon slave on the verge of giving up hope. This is their story - a story about love, sacrifice, and growing up.",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
